group	x	y	clickSelects
12536	-44.75	48.25	402
12536	-44.75	48.75	402
12536	-40.25	48.75	402
12536	-39.75	48.25	402
12536	-39.75	47.75	402
12536	-40.75	47.75	402
12536	-40.75	47.25	402
12536	-39.75	46.25	402
12536	-39.75	45.75	402
12536	-40.25	45.25	402
12536	-40.75	45.25	402
12536	-41.25	45.75	402
12536	-41.75	45.75	402
12536	-41.75	44.25	402
12536	-41.25	43.75	402
12536	-41.25	42.25	402
12536	-42.75	40.75	402
12536	-42.75	40.25	402
12536	-41.75	39.25	402
12536	-41.25	39.25	402
12536	-40.75	39.75	402
12536	-40.75	40.25	402
12536	-41.25	40.75	402
12536	-41.25	41.25	402
12536	-40.75	41.25	402
12536	-39.25	39.75	402
12536	-39.25	38.25	402
12536	-39.75	37.75	402
12536	-39.75	36.25	402
12536	-39.25	35.75	402
12536	-38.75	35.75	402
12536	-38.75	37.75	402
12536	-38.25	38.25	402
12536	-37.75	38.25	402
12536	-37.25	37.75	402
12536	-37.25	37.25	402
12536	-37.75	36.75	402
12536	-37.75	36.25	402
12536	-36.75	35.25	402
12536	-36.75	34.75	402
12536	-37.25	34.25	402
12536	-37.25	33.75	402
12536	-36.25	32.75	402
12536	-35.75	32.75	402
12536	-35.75	33.75	402
12536	-35.25	33.75	402
12536	-34.25	32.75	402
12536	-34.25	32.25	402
12536	-35.25	32.25	402
12536	-36.25	31.25	402
12536	-36.25	30.25	402
12536	-36.75	30.25	402
12536	-37.25	30.75	402
12536	-37.75	30.75	402
12536	-37.75	29.75	402
12536	-38.25	29.75	402
12536	-38.75	30.25	402
12536	-39.75	30.25	402
12536	-40.25	30.75	402
12536	-40.75	30.75	402
12536	-41.25	30.25	402
12536	-41.25	29.75	402
12536	-40.75	29.25	402
12536	-39.75	29.25	402
12536	-39.25	28.75	402
12536	-39.25	28.25	402
12536	-39.75	27.75	402
12536	-39.75	26.75	402
12536	-40.25	26.75	402
12536	-40.75	27.25	402
12536	-40.75	28.25	402
12536	-41.25	28.75	402
12536	-42.25	28.75	402
12536	-42.25	30.75	402
12536	-42.75	31.25	402
12536	-43.25	31.25	402
12536	-43.25	30.25	402
12536	-43.75	29.75	402
12536	-43.75	29.25	402
12536	-43.25	28.75	402
12536	-43.25	28.25	402
12536	-43.75	28.25	402
12536	-44.75	29.25	402
12536	-44.75	48.25	402
12537	-43.25	37.75	402
12537	-43.25	38.25	402
12537	-42.75	38.25	402
12537	-42.75	37.75	402
12537	-43.25	37.75	402
3703	-40.75	47.25	165
3703	-40.75	47.75	165
3703	-39.75	47.75	165
3703	-39.75	48.75	165
3703	-32.25	48.75	165
3703	-31.75	48.25	165
3703	-31.25	48.25	165
3703	-30.75	48.75	165
3703	-30.25	48.75	165
3703	-29.75	48.25	165
3703	-29.75	47.75	165
3703	-30.75	47.75	165
3703	-31.75	46.75	165
3703	-31.75	46.25	165
3703	-30.75	45.25	165
3703	-30.75	43.25	165
3703	-30.25	42.75	165
3703	-28.75	42.75	165
3703	-28.25	43.25	165
3703	-27.75	43.25	165
3703	-27.25	42.75	165
3703	-27.25	41.75	165
3703	-26.75	41.25	165
3703	-26.25	41.25	165
3703	-26.25	42.25	165
3703	-25.75	42.25	165
3703	-25.25	41.75	165
3703	-25.25	40.75	165
3703	-24.75	40.75	165
3703	-24.25	41.25	165
3703	-23.25	41.25	165
3703	-22.75	41.75	165
3703	-22.25	41.75	165
3703	-22.25	40.75	165
3703	-21.75	40.75	165
3703	-21.25	41.25	165
3703	-20.25	41.25	165
3703	-20.25	42.25	165
3703	-19.75	42.75	165
3703	-19.25	42.75	165
3703	-19.25	41.75	165
3703	-18.75	41.25	165
3703	-18.75	40.75	165
3703	-19.75	39.75	165
3703	-19.75	39.25	165
3703	-19.25	39.25	165
3703	-18.75	39.75	165
3703	-16.75	39.75	165
3703	-16.25	40.25	165
3703	-16.25	41.25	165
3703	-15.75	41.25	165
3703	-15.25	40.75	165
3703	-14.75	40.75	165
3703	-14.75	41.75	165
3703	-13.75	41.75	165
3703	-12.75	42.75	165
3703	-12.25	42.75	165
3703	-11.75	42.25	165
3703	-11.75	41.75	165
3703	-12.25	41.25	165
3703	-12.25	40.75	165
3703	-11.25	40.75	165
3703	-10.25	39.75	165
3703	-10.25	38.75	165
3703	-9.25	38.75	165
3703	-9.25	37.75	165
3703	-8.25	36.75	165
3703	-8.25	36.25	165
3703	-8.75	35.75	165
3703	-9.25	35.75	165
3703	-9.75	36.25	165
3703	-10.25	36.25	165
3703	-10.75	35.75	165
3703	-11.25	35.75	165
3703	-12.25	36.75	165
