group	x	y	clickSelects
8861	-44.75	48.25	291
8861	-44.75	48.75	291
8861	-43.75	48.75	291
8861	-43.25	49.25	291
8861	-40.75	49.25	291
8861	-40.75	48.75	291
8861	-41.25	48.25	291
8861	-43.25	48.25	291
8861	-43.25	47.25	291
8861	-43.75	47.25	291
8861	-44.75	48.25	291
8872	-44.75	45.25	291
8872	-44.75	45.75	291
8872	-44.25	45.75	291
8872	-44.25	44.75	291
8872	-43.75	44.75	291
8872	-43.25	45.25	291
8872	-42.75	45.25	291
8872	-42.25	44.75	291
8872	-42.25	43.25	291
8872	-43.25	42.25	291
8872	-44.75	42.25	291
8872	-44.75	45.25	291
8883	-40.25	49.25	291
8883	-40.25	48.75	291
8883	-39.75	48.75	291
8883	-39.75	49.25	291
8883	-40.25	49.25	291
8894	-39.25	49.25	291
8894	-39.25	48.75	291
8894	-38.75	48.25	291
8894	-38.25	48.25	291
8894	-37.75	48.75	291
8894	-37.75	49.25	291
8894	-39.25	49.25	291
8905	-44.75	40.25	291
8905	-44.75	40.75	291
8905	-44.25	41.25	291
8905	-42.75	41.25	291
8905	-42.25	40.75	291
8905	-42.25	40.25	291
8905	-42.75	39.75	291
8905	-43.75	39.75	291
8905	-44.25	39.25	291
8905	-44.75	39.25	291
8905	-44.75	40.25	291
8916	-44.75	27.25	291
8916	-44.75	27.75	291
8916	-44.25	27.75	291
8916	-44.25	27.25	291
8916	-44.75	27.25	291
2383	-44.25	48.75	1407
2383	-44.25	49.25	1407
2383	-43.75	49.25	1407
2383	-43.75	48.75	1407
2383	-44.25	48.75	1407
2394	-44.75	46.25	1407
2394	-44.75	46.75	1407
2394	-44.25	47.25	1407
2394	-43.25	47.25	1407
2394	-43.25	48.25	1407
2394	-41.25	48.25	1407
2394	-40.75	48.75	1407
2394	-39.25	48.75	1407
2394	-38.75	48.25	1407
2394	-38.25	48.25	1407
2394	-37.25	49.25	1407
2394	-36.75	49.25	1407
2394	-36.25	48.75	1407
2394	-35.75	48.75	1407
2394	-35.25	49.25	1407
2394	-34.75	49.25	1407
2394	-33.75	48.25	1407
2394	-33.75	47.75	1407
2394	-35.75	47.75	1407
2394	-36.75	46.75	1407
2394	-36.75	45.25	1407
2394	-35.75	44.25	1407
2394	-35.75	43.25	1407
2394	-34.25	41.75	1407
2394	-33.25	41.75	1407
2394	-33.25	40.75	1407
2394	-32.75	40.25	1407
2394	-32.75	39.75	1407
2394	-33.25	39.25	1407
2394	-33.25	38.25	1407
2394	-33.75	38.25	1407
2394	-34.75	39.25	1407
2394	-35.25	39.25	1407
2394	-35.25	38.75	1407
2394	-33.75	37.25	1407
2394	-33.25	37.25	1407
2394	-32.75	37.75	1407
2394	-32.25	37.75	1407
2394	-32.25	37.25	1407
2394	-32.75	36.75	1407
2394	-32.75	35.75	1407
2394	-33.75	35.75	1407
2394	-34.25	35.25	1407
2394	-35.25	35.25	1407
2394	-35.25	34.25	1407
2394	-36.25	33.25	1407
2394	-36.75	33.25	1407
2394	-36.75	35.25	1407
2394	-37.25	35.25	1407
2394	-37.75	34.75	1407
2394	-37.75	33.75	1407
2394	-38.75	33.75	1407
2394	-39.75	32.75	1407
2394	-39.75	32.25	1407
2394	-39.25	31.75	1407
2394	-39.25	30.75	1407
2394	-37.75	29.25	1407
2394	-37.25	29.25	1407
2394	-36.75	29.75	1407
2394	-36.25	29.75	1407
2394	-35.75	29.25	1407
2394	-35.75	28.75	1407
2394	-36.75	27.75	1407
2394	-37.25	27.75	1407
2394	-37.75	28.25	1407
2394	-38.25	28.25	1407
2394	-38.25	27.75	1407
2394	-37.75	27.25	1407
2394	-37.75	26.25	1407
2394	-37.25	25.75	1407
2394	-37.25	25.25	1407
2394	-37.75	25.25	1407
2394	-38.75	26.25	1407
2394	-39.25	26.25	1407
2394	-39.25	24.25	1407
2394	-39.75	23.75	1407
2394	-40.75	23.75	1407
2394	-41.75	22.75	1407
2394	-42.25	22.75	1407
2394	-42.25	25.25	1407
2394	-41.75	25.75	1407
2394	-41.75	26.25	1407
2394	-42.25	26.25	1407
2394	-43.25	25.25	1407
2394	-43.25	24.25	1407
2394	-44.25	24.25	1407
2394	-44.25	22.75	1407
2394	-43.25	22.75	1407
2394	-43.25	20.75	1407
2394	-42.75	20.25	1407
2394	-42.25	20.25	1407
2394	-41.25	21.25	1407
2394	-41.25	22.25	1407
2394	-40.25	22.25	1407
2394	-39.75	22.75	1407
2394	-39.25	22.75	1407
2394	-38.25	21.75	1407
2394	-38.25	20.75	1407
2394	-37.75	20.75	1407
2394	-37.25	21.25	1407
2394	-36.25	21.25	1407
2394	-36.25	21.75	1407
2394	-37.25	22.75	1407
2394	-37.25	24.25	1407
2394	-35.25	26.25	1407
2394	-33.75	26.25	1407
2394	-33.75	25.75	1407
2394	-34.75	24.75	1407
2394	-34.75	23.75	1407
2394	-35.25	23.25	1407
2394	-35.25	22.75	1407
2394	-33.75	22.75	1407
2394	-33.75	24.75	1407
2394	-33.25	24.75	1407
2394	-32.75	24.25	1407
2394	-32.75	22.25	1407
2394	-31.75	22.25	1407
