group	x	y	clickSelects
13954	-45.25	48.75	510
13954	-45.25	49.25	510
13954	-44.75	49.25	510
13954	-44.75	48.25	510
13954	-44.25	47.75	510
13954	-43.25	47.75	510
13954	-42.75	47.25	510
13954	-42.75	46.25	510
13954	-42.25	45.75	510
13954	-42.25	44.25	510
13954	-42.75	44.25	510
13954	-43.25	44.75	510
13954	-44.25	44.75	510
13954	-44.25	45.75	510
13954	-45.25	45.75	510
13954	-45.25	46.25	510
13954	-44.75	46.75	510
13954	-44.75	47.25	510
13954	-45.25	47.75	510
13954	-45.25	48.75	510
17453	-44.75	48.25	94
17453	-44.75	48.75	94
17453	-44.25	49.25	94
17453	-40.75	49.25	94
17453	-40.25	48.75	94
17453	-40.25	48.25	94
17453	-40.75	47.75	94
17453	-40.75	47.25	94
17453	-40.25	46.75	94
17453	-39.25	46.75	94
17453	-39.25	46.25	94
17453	-39.75	45.75	94
17453	-39.75	45.25	94
17453	-38.75	45.25	94
17453	-38.75	43.75	94
17453	-39.25	43.25	94
17453	-39.25	42.75	94
17453	-36.75	40.25	94
17453	-36.25	40.25	94
17453	-35.75	40.75	94
17453	-35.25	40.75	94
17453	-33.25	38.75	94
17453	-32.75	38.75	94
17453	-31.25	40.25	94
17453	-30.75	40.25	94
17453	-30.75	39.75	94
17453	-32.25	38.25	94
17453	-32.25	37.75	94
17453	-31.75	37.75	94
17453	-31.25	38.25	94
17453	-30.75	38.25	94
17453	-30.75	37.25	94
17453	-29.75	37.25	94
17453	-29.25	36.75	94
17453	-28.75	36.75	94
17453	-28.75	37.75	94
17453	-28.25	38.25	94
17453	-28.25	38.75	94
17453	-29.25	38.75	94
17453	-29.25	39.75	94
17453	-30.25	40.75	94
17453	-30.25	41.25	94
17453	-29.75	41.75	94
17453	-29.75	42.75	94
17453	-29.25	43.25	94
17453	-28.25	43.25	94
17453	-27.25	44.25	94
17453	-27.25	44.75	94
17453	-27.75	45.25	94
17453	-27.75	45.75	94
17453	-25.25	45.75	94
17453	-25.25	45.25	94
17453	-26.25	44.25	94
17453	-26.25	42.75	94
17453	-25.75	42.75	94
17453	-25.25	43.25	94
17453	-25.25	44.25	94
17453	-24.75	44.25	94
17453	-24.25	43.75	94
17453	-24.25	43.25	94
17453	-24.75	42.75	94
17453	-24.75	42.25	94
17453	-24.25	42.25	94
17453	-22.75	43.75	94
17453	-22.75	44.75	94
17453	-22.25	44.75	94
17453	-20.75	43.25	94
17453	-20.75	42.25	94
17453	-20.25	42.25	94
17453	-19.75	42.75	94
17453	-19.75	43.25	94
17453	-21.25	44.75	94
17453	-21.25	45.25	94
17453	-20.75	45.25	94
17453	-19.75	44.25	94
17453	-19.25	44.25	94
17453	-18.75	44.75	94
17453	-18.25	44.75	94
17453	-17.75	44.25	94
17453	-16.75	44.25	94
17453	-16.25	43.75	94
17453	-15.75	43.75	94
17453	-15.75	44.25	94
17453	-16.75	45.25	94
17453	-17.75	45.25	94
17453	-18.75	46.25	94
17453	-19.25	46.25	94
17453	-19.25	45.25	94
17453	-19.75	45.25	94
17453	-20.25	45.75	94
17453	-20.25	46.25	94
17453	-19.25	47.25	94
17453	-17.75	47.25	94
17453	-17.75	46.25	94
17453	-16.75	46.25	94
17453	-16.25	45.75	94
17453	-15.25	45.75	94
17453	-14.25	44.75	94
17453	-13.25	44.75	94
17453	-13.25	44.25	94
17453	-13.75	43.75	94
17453	-13.75	42.25	94
17453	-13.25	42.25	94
17453	-12.25	43.25	94
17453	-12.25	45.25	94
17453	-11.75	45.25	94
17453	-10.25	43.75	94
17453	-10.25	43.25	94
17453	-10.75	42.75	94
17453	-10.75	41.75	94
17453	-11.25	41.25	94
17453	-11.25	40.75	94
17453	-10.25	40.75	94
17453	-10.25	39.75	94
17453	-9.75	39.25	94
17453	-9.75	38.75	94
17453	-10.75	38.75	94
17453	-10.75	37.75	94
17453	-11.25	37.25	94
17453	-12.25	37.25	94
17453	-12.75	36.75	94
17453	-12.75	35.75	94
17453	-13.25	35.25	94
17453	-14.25	35.25	94
17453	-14.25	34.75	94
17453	-13.75	34.25	94
17453	-13.75	33.75	94
17453	-14.75	32.75	94
17453	-15.75	32.75	94
17453	-17.25	31.25	94
17453	-18.25	31.25	94
17453	-18.25	30.25	94
17453	-19.25	29.25	94
17453	-19.75	29.25	94
17453	-19.75	29.75	94
17453	-19.25	30.25	94
17453	-19.25	30.75	94
17453	-19.75	31.25	94
17453	-20.25	31.25	94
17453	-20.25	30.25	94
17453	-20.75	29.75	94
17453	-20.75	28.75	94
17453	-21.75	28.75	94
17453	-21.75	27.75	94
17453	-22.25	27.75	94
17453	-22.75	28.25	94
17453	-23.25	28.25	94
17453	-23.75	27.75	94
17453	-25.25	27.75	94
17453	-27.25	29.75	94
17453	-27.75	29.75	94
17453	-27.75	29.25	94
17453	-27.25	28.75	94
17453	-27.25	27.25	94
17453	-27.75	26.75	94
17453	-27.75	26.25	94
17453	-27.25	26.25	94
17453	-26.75	26.75	94
17453	-26.25	26.75	94
17453	-26.25	26.25	94
17453	-26.75	25.75	94
17453	-26.75	25.25	94
17453	-25.75	24.25	94
17453	-25.75	23.75	94
17453	-26.25	23.25	94
17453	-27.25	23.25	94
17453	-27.75	22.75	94
17453	-27.75	22.25	94
17453	-26.75	22.25	94
17453	-26.75	21.75	94
17453	-27.75	20.75	94
17453	-30.25	20.75	94
17453	-31.25	21.75	94
17453	-31.75	21.75	94
17453	-31.75	18.25	94
17453	-30.75	18.25	94
17453	-30.25	17.75	94
17453	-30.25	17.25	94
17453	-31.25	17.25	94
17453	-31.25	16.75	94
17453	-29.25	14.75	94
17453	-28.75	14.75	94
17453	-28.25	15.25	94
17453	-27.75	15.25	94
17453	-27.25	14.75	94
17453	-26.75	14.75	94
17453	-26.25	15.25	94
17453	-26.25	15.75	94
17453	-26.75	16.25	94
17453	-26.75	16.75	94
17453	-26.25	16.75	94
17453	-25.25	15.75	94
17453	-24.25	15.75	94
17453	-24.25	15.25	94
17453	-24.75	14.75	94
17453	-24.75	14.25	94
17453	-23.25	12.75	94
17453	-23.25	12.25	94
17453	-23.75	12.25	94
17453	-24.25	12.75	94
17453	-24.75	12.75	94
17453	-25.25	12.25	94
17453	-26.25	12.25	94
17453	-26.25	8.75	94
17453	-25.75	8.25	94
17453	-24.25	8.25	94
17453	-23.75	8.75	94
17453	-23.75	9.25	94
17453	-24.75	9.25	94
17453	-24.75	9.75	94
17453	-23.25	11.25	94
17453	-22.75	11.25	94
17453	-21.25	9.75	94
17453	-20.25	9.75	94
17453	-20.25	7.75	94
17453	-19.75	7.75	94
17453	-19.25	8.25	94
17453	-18.75	8.25	94
17453	-18.75	7.25	94
17453	-18.25	6.75	94
17453	-17.25	6.75	94
17453	-17.25	6.25	94
17453	-18.25	5.25	94
17453	-18.25	4.75	94
17453	-17.75	4.25	94
17453	-17.75	3.25	94
17453	-17.25	2.75	94
17453	-17.25	2.25	94
17453	-18.75	2.25	94
17453	-19.25	2.75	94
17453	-19.25	3.75	94
17453	-20.25	3.75	94
17453	-20.25	4.25	94
17453	-18.75	5.75	94
17453	-18.75	6.25	94
17453	-19.25	6.75	94
17453	-20.25	6.75	94
17453	-21.25	7.75	94
17453	-21.75	7.75	94
17453	-22.25	7.25	94
17453	-22.75	7.25	94
17453	-22.75	8.25	94
17453	-23.25	8.25	94
17453	-23.75	7.75	94
17453	-23.75	6.75	94
17453	-24.75	5.75	94
17453	-24.75	5.25	94
17453	-24.25	5.25	94
17453	-23.25	6.25	94
17453	-22.75	6.25	94
17453	-22.25	5.75	94
17453	-22.25	5.25	94
17453	-23.75	3.75	94
17453	-23.75	3.25	94
17453	-23.25	2.75	94
17453	-21.75	2.75	94
17453	-21.75	3.25	94
17453	-22.25	3.75	94
17453	-22.25	4.25	94
17453	-21.75	4.25	94
17453	-20.75	3.25	94
17453	-20.75	2.75	94
17453	-21.25	2.25	94
17453	-21.25	1.25	94
17453	-21.75	0.75	94
17453	-23.25	0.75	94
17453	-23.25	1.75	94
17453	-23.75	2.25	94
17453	-24.25	2.25	94
17453	-24.25	1.25	94
17453	-25.25	0.25	94
17453	-25.75	0.25	94
17453	-26.75	1.25	94
17453	-27.25	1.25	94
17453	-27.25	0.75	94
17453	-26.25	-0.25	94
17453	-26.25	-0.75	94
17453	-26.75	-1.25	94
17453	-33.25	-1.25	94
17453	-33.25	-0.75	94
17453	-32.75	-0.25	94
17453	-32.75	0.75	94
17453	-32.25	1.25	94
17453	-32.25	2.25	94
17453	-31.25	3.25	94
17453	-30.25	3.25	94
17453	-30.25	3.75	94
17453	-31.25	4.75	94
17453	-31.75	4.75	94
17453	-31.75	3.75	94
17453	-33.25	3.75	94
17453	-33.75	4.25	94
17453	-33.75	5.25	94
17453	-34.75	5.25	94
17453	-36.25	6.75	94
17453	-36.25	8.75	94
17453	-37.25	8.75	94
17453	-37.75	9.25	94
17453	-37.75	10.75	94
17453	-36.75	10.75	94
17453	-36.25	11.25	94
17453	-35.75	11.25	94
17453	-35.75	10.25	94
17453	-34.75	10.25	94
17453	-33.75	9.25	94
17453	-33.25	9.25	94
17453	-33.25	10.25	94
17453	-32.75	10.75	94
17453	-31.75	10.75	94
17453	-31.75	11.75	94
17453	-31.25	12.25	94
17453	-31.25	12.75	94
17453	-31.75	13.25	94
17453	-32.25	13.25	94
17453	-32.75	12.75	94
17453	-33.25	12.75	94
17453	-33.25	14.75	94
