x	y	clickSelects
-0.08857009592337	-0.763693423565961	2141
0.0941456501887701	1.16601960457801	2141
0.00899422254161997	2.35722294117169	2141
-0.00475126282401006	1.22411273297515	942
0.10377074291183	0.693483266493956	2051
0.0108890343478001	-1.30433620881757	117
0.02708656329078	-0.400432606436844	2823
0.04421582599811	1.51598123148535	2432
0.02482412051521	-1.84196438218938	2432
0.0695766360264001	0.531713661520357	1476
-0.0959040621179501	-1.12681334695757	2726
0.05671625602822	1.2733617241898	2726
0.0444113308423599	-2.45306639664447	3206
-0.00556823843720999	0.373151807074393	2518
