group	fill	clickSelects
1	#FFFFFF	68
2	#FFFFFF	68
3	#FFFFFF	68
4	#FFFFFF	68
5	#FFFFFF	710
6	#FFFFFF	710
7	#FFFFFF	710
8	#FFFFFF	710
9	#FFFFFF	710
10	#FFFFFF	710
11	#FFFFFF	710
12	#FFFFFF	710
13	#FFFFFF	710
14	#FFFFFF	68
15	#FFFFFF	710
16	#FFFFFF	710
17	#FFFFFF	710
18	#FFFFFF	710
19	#FFFFFF	710
20	#FFFFFF	710
21	#FFFFFF	710
22	#FFFFFF	710
23	#FFFFFF	710
24	#FFFFFF	710
25	#FFFFFF	710
26	#FFFFFF	710
27	#FFFFFF	710
28	#FFFFFF	710
29	#FFFFFF	710
30	#FFFFFF	710
31	#FFFFFF	3586
32	#FFFFFF	3586
33	#FFFFFF	710
34	#FFFFFF	3586
35	#FFFFFF	3586
36	#FFFFFF	710
37	#FFFFFF	710
38	#FFFFFF	710
39	#FFFFFF	710
40	#FFFFFF	710
41	#FFFFFF	710
42	#FFFFFF	710
43	#FFFFFF	786
44	#FFFFFF	786
45	#FFFFFF	786
46	#FFFFFF	710
47	#FFFFFF	710
48	#FFFFFF	710
49	#FFFFFF	710
50	#FFFFFF	68
52	#FFFFFF	68
53	#FFFFFF	68
54	#FFFFFF	68
55	#FFFFFF	68
56	#FFFFFF	710
57	#FFFFFF	710
58	#FFFFFF	710
59	#FFFFFF	710
60	#FFFFFF	710
61	#FFFFFF	710
62	#FFFFFF	710
63	#FFFFFF	710
64	#FFFFFF	68
65	#FFFFFF	710
66	#FFFFFF	710
67	#FFFFFF	710
68	#FFFFFF	710
69	#FFFFFF	710
70	#FFFFFF	710
71	#FFFFFF	710
72	#FFFFFF	710
73	#FFFFFF	710
74	#FFFFFF	710
75	#FFFFFF	68
76	#FFFFFF	710
77	#FFFFFF	710
78	#FFFFFF	710
79	#FFFFFF	710
80	#FFFFFF	710
81	#FFFFFF	710
82	#FFFFFF	3586
83	#FFFFFF	3586
84	#FFFFFF	3586
85	#FFFFFF	3586
86	#FFFFFF	710
87	#FFFFFF	3586
88	#FFFFFF	710
89	#FFFFFF	710
90	#FFFFFF	710
91	#FFFFFF	710
92	#FFFFFF	710
93	#FFFFFF	710
94	#FFFFFF	786
95	#FFFFFF	786
97	#FFFFFF	710
98	#FFFFFF	710
99	#FFFFFF	710
100	#FFFFFF	710
101	#FFFFFF	68
102	#FFFFFF	68
103	#FFFFFF	68
104	#FFFFFF	68
105	#FFFFFF	710
106	#FFFFFF	68
107	#FFFFFF	710
108	#FFFFFF	710
109	#FFFFFF	710
110	#FFFFFF	710
111	#FFFFFF	710
112	#FFFFFF	710
113	#FFFFFF	710
114	#FFFFFF	710
115	#FFFFFF	68
116	#FFFFFF	710
117	#FFFFFF	710
118	#FFFFFF	710
119	#FFFFFF	710
120	#FFFFFF	710
121	#FFFFFF	710
122	#FFFFFF	710
123	#FFFFFF	710
124	#FFFFFF	710
125	#FFFFFF	710
126	#FFFFFF	68
127	#FFFFFF	710
128	#FFFFFF	710
129	#FFFFFF	710
130	#FFFFFF	710
131	#FFFFFF	710
132	#FFFFFF	3586
133	#FFFFFF	3586
134	#FFFFFF	3586
135	#FFFFFF	3586
136	#FFFFFF	3586
137	#FFFFFF	68
138	#FFFFFF	710
139	#FFFFFF	710
140	#FFFFFF	710
141	#FFFFFF	710
142	#FFFFFF	710
143	#FFFFFF	710
144	#FFFFFF	710
145	#FFFFFF	786
146	#FFFFFF	786
147	#FFFFFF	710
148	#FFFFFF	710
149	#FFFFFF	710
150	#FFFFFF	710
151	#FFFFFF	68
153	#FFFFFF	68
154	#FFFFFF	710
155	#FFFFFF	710
156	#FFFFFF	710
157	#FFFFFF	710
158	#FFFFFF	710
159	#FFFFFF	710
160	#FFFFFF	710
161	#FFFFFF	710
162	#FFFFFF	710
163	#FFFFFF	710
164	#FFFFFF	2095
165	#FFFFFF	710
166	#FFFFFF	710
167	#FFFFFF	2095
168	#FFFFFF	2095
169	#FFFFFF	2095
170	#FFFFFF	2095
171	#FFFFFF	2095
172	#FFFFFF	3586
173	#FFFFFF	3586
174	#FFFFFF	3586
175	#FFFFFF	3586
176	#FFFFFF	68
177	#FFFFFF	3586
178	#FFFFFF	3586
179	#FFFFFF	3586
180	#FFFFFF	3586
181	#FFFFFF	3586
182	#FFFFFF	3586
183	#FFFFFF	3586
184	#FFFFFF	3586
185	#FFFFFF	710
186	#FFFFFF	710
187	#FFFFFF	710
188	#FFFFFF	3586
