group	x	y	clickSelects
7474	-44.75	48.25	2543
7474	-44.75	48.75	2543
7474	-44.25	49.25	2543
7474	-40.75	49.25	2543
7474	-40.75	48.75	2543
7474	-41.25	48.25	2543
7474	-41.25	46.25	2543
7474	-42.25	45.25	2543
7474	-42.25	44.75	2543
7474	-41.25	43.75	2543
7474	-40.25	43.75	2543
7474	-40.25	43.25	2543
7474	-40.75	42.75	2543
7474	-40.75	41.75	2543
7474	-41.25	41.75	2543
7474	-41.75	42.25	2543
7474	-42.75	42.25	2543
7474	-43.25	42.75	2543
7474	-44.25	42.75	2543
7474	-44.75	43.25	2543
7474	-44.75	48.25	2543
7475	-40.25	49.25	2543
7475	-40.25	48.75	2543
7475	-39.25	47.75	2543
7475	-38.75	47.75	2543
7475	-37.75	48.75	2543
7475	-37.75	49.25	2543
7475	-40.25	49.25	2543
15988	-41.25	47.75	76
15988	-41.25	48.25	76
15988	-40.75	48.75	76
15988	-40.25	48.75	76
15988	-39.25	47.75	76
15988	-38.75	47.75	76
15988	-37.25	49.25	76
15988	-32.75	49.25	76
15988	-32.25	48.75	76
15988	-31.25	48.75	76
15988	-30.25	47.75	76
15988	-29.75	47.75	76
15988	-29.25	48.25	76
15988	-28.75	48.25	76
15988	-28.25	47.75	76
15988	-28.25	47.25	76
15988	-28.75	46.75	76
15988	-28.75	46.25	76
15988	-28.25	45.75	76
15988	-27.25	45.75	76
15988	-26.75	45.25	76
15988	-25.25	45.25	76
15988	-24.75	45.75	76
15988	-24.75	46.25	76
15988	-25.75	46.25	76
15988	-25.75	46.75	76
15988	-24.75	47.75	76
15988	-24.25	47.75	76
15988	-24.25	46.75	76
15988	-22.75	46.75	76
15988	-22.25	47.25	76
15988	-22.25	47.75	76
15988	-23.25	47.75	76
15988	-24.25	48.75	76
15988	-24.25	49.25	76
15988	-17.75	49.25	76
15988	-17.25	48.75	76
15988	-17.25	48.25	76
15988	-18.75	46.75	76
15988	-19.75	46.75	76
15988	-19.75	46.25	76
15988	-19.25	45.75	76
15988	-17.75	45.75	76
15988	-17.75	46.75	76
15988	-16.75	46.75	76
15988	-15.25	48.25	76
15988	-14.75	48.25	76
15988	-13.75	47.25	76
15988	-13.75	45.75	76
15988	-14.75	44.75	76
15988	-15.25	44.75	76
15988	-16.25	45.75	76
15988	-16.75	45.75	76
15988	-16.75	45.25	76
15988	-14.25	42.75	76
15988	-14.25	42.25	76
15988	-14.75	42.25	76
15988	-15.25	42.75	76
15988	-17.25	42.75	76
15988	-17.25	43.75	76
15988	-17.75	43.75	76
15988	-18.25	43.25	76
15988	-18.75	43.25	76
15988	-19.25	43.75	76
15988	-19.75	43.75	76
15988	-20.25	43.25	76
15988	-20.25	41.75	76
15988	-19.75	41.25	76
15988	-19.25	41.25	76
15988	-19.25	42.25	76
15988	-17.75	42.25	76
