group	label	showSelected1
1	Cluster 52: 382/9944 pixels shown, logFC -5.6 to 4.3, log10(p) 0.0 to 4.3	52
1	Cluster 537: 10/6176 pixels shown, logFC -4.9 to 3.7, log10(p) 0.0 to 4.0	537
1	Cluster 556: 263/14123 pixels shown, logFC -5.3 to 3.1, log10(p) 0.0 to 3.6	556
1	Cluster 760: 871/4792 pixels shown, logFC -5.0 to 3.9, log10(p) 0.0 to 4.1	760
1	Cluster 886: 61/113 pixels shown, logFC -4.3 to 2.5, log10(p) 0.0 to 2.0	886
1	Cluster 1038: 623/634 pixels shown, logFC -3.7 to 3.6, log10(p) 0.0 to 5.3	1038
1	Cluster 1189: 1605/5289 pixels shown, logFC -5.3 to 4.1, log10(p) 0.0 to 4.5	1189
1	Cluster 1202: 280/1470 pixels shown, logFC -4.4 to 4.3, log10(p) 0.0 to 2.8	1202
1	Cluster 1823: 189/1770 pixels shown, logFC -5.4 to 2.8, log10(p) 0.0 to 7.6	1823
1	Cluster 2484: 79/148 pixels shown, logFC -2.1 to 2.4, log10(p) 0.0 to 3.1	2484
1	Cluster 3287: 75/381 pixels shown, logFC -3.9 to 3.1, log10(p) 0.0 to 4.8	3287
1	Cluster 3354: 158/218 pixels shown, logFC -2.3 to 3.0, log10(p) 0.0 to 3.9	3354
1	Cluster 3627: 234/311 pixels shown, logFC -4.4 to 2.2, log10(p) 0.0 to 2.1	3627
