group	label	showSelected1
1	Cluster 14: 441/1168 pixels shown, logFC -4.7 to 3.3, log10(p) 0.0 to 2.9	14
1	Cluster 18: 84/3996 pixels shown, logFC -4.5 to 4.1, log10(p) 0.0 to 3.5	18
1	Cluster 19: 545/2238 pixels shown, logFC -5.8 to 3.7, log10(p) 0.0 to 5.1	19
1	Cluster 49: 65/5113 pixels shown, logFC -5.9 to 2.5, log10(p) 0.0 to 6.7	49
1	Cluster 384: 2027/7868 pixels shown, logFC -5.6 to 3.7, log10(p) 0.0 to 7.9	384
1	Cluster 776: 119/304 pixels shown, logFC -4.5 to 1.7, log10(p) 0.0 to 2.3	776
1	Cluster 964: 72/2067 pixels shown, logFC -3.3 to 5.3, log10(p) 0.0 to 6.0	964
1	Cluster 1503: 251/1554 pixels shown, logFC -3.3 to 4.6, log10(p) 0.0 to 6.8	1503
1	Cluster 1504: 211/650 pixels shown, logFC -4.4 to 3.0, log10(p) 0.0 to 5.7	1504
1	Cluster 1869: 55/116 pixels shown, logFC -5.1 to 1.9, log10(p) 0.0 to 3.1	1869
1	Cluster 2505: 926/1028 pixels shown, logFC -2.6 to 2.7, log10(p) 0.0 to 4.9	2505
1	Cluster 2741: 63/63 pixels shown, logFC -0.8 to 1.6, log10(p) 0.0 to 1.8	2741
1	Cluster 2809: 138/138 pixels shown, logFC -2.3 to 1.3, log10(p) 0.0 to 1.4	2809
