group	label	showSelected1
1	Cluster 10: 1879/6871 pixels shown, logFC -4.5 to 5.0, log10(p) 0.0 to 4.7	10
1	Cluster 16: 107/2944 pixels shown, logFC -3.7 to 4.8, log10(p) 0.0 to 3.7	16
1	Cluster 38: 78/2342 pixels shown, logFC -3.8 to 4.8, log10(p) 0.0 to 3.7	38
1	Cluster 127: 244/323 pixels shown, logFC -4.2 to 3.3, log10(p) 0.0 to 1.9	127
1	Cluster 214: 1130/6372 pixels shown, logFC -4.8 to 3.8, log10(p) 0.0 to 3.1	214
1	Cluster 258: 90/2653 pixels shown, logFC -4.1 to 5.3, log10(p) 0.0 to 5.4	258
1	Cluster 460: 414/444 pixels shown, logFC -4.3 to 2.8, log10(p) 0.0 to 2.0	460
1	Cluster 812: 151/151 pixels shown, logFC -4.1 to 3.3, log10(p) 0.0 to 1.7	812
1	Cluster 873: 56/328 pixels shown, logFC -3.5 to 2.8, log10(p) 0.0 to 1.3	873
1	Cluster 1236: 79/258 pixels shown, logFC -5.1 to 2.0, log10(p) 0.0 to 3.1	1236
1	Cluster 1426: 39/98 pixels shown, logFC -3.1 to 3.7, log10(p) 0.0 to 1.9	1426
1	Cluster 1650: 70/70 pixels shown, logFC -3.7 to 3.7, log10(p) 0.0 to 1.9	1650
1	Cluster 1915: 1/50 pixels shown, logFC -3.3 to 2.0, log10(p) 0.0 to 1.2	1915
1	Cluster 1970: 37/65 pixels shown, logFC -3.5 to 2.8, log10(p) 0.0 to 1.3	1970
1	Cluster 2023: 28/28 pixels shown, logFC -3.5 to 2.0, log10(p) 0.0 to 1.3	2023
1	Cluster 2033: 71/191 pixels shown, logFC -4.2 to 2.8, log10(p) 0.0 to 1.9	2033
1	Cluster 2075: 14/18 pixels shown, logFC -2.8 to -1.3, log10(p) 0.3 to 0.9	2075
1	Cluster 2378: 11/66 pixels shown, logFC -4.3 to 2.0, log10(p) 0.0 to 2.0	2378
1	Cluster 2857: 36/37 pixels shown, logFC -1.3 to 3.4, log10(p) 0.0 to 1.5	2857
1	Cluster 2879: 1/23 pixels shown, logFC -3.5 to 0.9, log10(p) 0.0 to 1.3	2879
1	Cluster 3188: 38/38 pixels shown, logFC -4.0 to 1.5, log10(p) 0.0 to 1.7	3188
1	Cluster 3636: 7/7 pixels shown, logFC 0.7 to 2.8, log10(p) 0.2 to 1.1	3636
1	Cluster 3809: 14/14 pixels shown, logFC -2.5 to 0.0, log10(p) 0.0 to 0.7	3809
1	Cluster 3810: 163/163 pixels shown, logFC -2.5 to 3.7, log10(p) 0.0 to 2.4	3810
