group	fill	clickSelects
1	#FFFFFF	668
2	#FFFFFF	668
3	#FFFFFF	668
4	#FFFFFF	668
5	#FFFFFF	668
6	#FFFFFF	668
7	#FFFFFF	1394
8	#FFFFFF	668
9	#FFFFFF	668
10	#FFFFFF	668
11	#FFFFFF	668
12	#FFFFFF	668
13	#FFFFFF	668
14	#FFFFFF	668
15	#FFFFFF	668
16	#FFFFFF	668
17	#FFFFFF	668
18	#FFFFFF	668
19	#FFFFFF	668
20	#FFFFFF	668
21	#FFFFFF	668
22	#FFFFFF	668
23	#FFFFFF	668
24	#FFFFFF	668
25	#FFFFFF	668
26	#FFFFFF	668
27	#FFFFFF	668
28	#FFFFFF	668
29	#FFFFFF	668
30	#FFFFFF	668
31	#FFFFFF	668
32	#FFFFFF	668
33	#FFFFFF	668
34	#FFFFFF	668
35	#FFFFFF	668
36	#FFFFFF	668
37	#FFFFFF	1394
38	#FFFFFF	1394
39	#FFFFFF	3069
40	#FFFFFF	3069
41	#FFFFFF	3069
42	#FFFFFF	3069
43	#FFFFFF	3069
44	#FFFFFF	3069
45	#FFFFFF	3313
46	#FFFFFF	668
47	#FFFFFF	668
48	#FFFFFF	668
49	#FFFFFF	668
50	#FFFFFF	668
52	#FFFFFF	668
53	#FFFFFF	668
54	#FFFFFF	668
55	#FFFFFF	1394
56	#FFFFFF	668
57	#FFFFFF	668
58	#FFFFFF	1394
59	#FFFFFF	668
60	#FFFFFF	668
61	#FFFFFF	668
62	#FFFFFF	668
63	#FFFFFF	668
64	#FFFFFF	668
65	#FFFFFF	668
66	#FFFFFF	668
67	#FFFFFF	668
68	#FFFFFF	668
69	#FFFFFF	668
70	#FFFFFF	668
71	#FFFFFF	668
72	#FFFFFF	668
73	#FFFFFF	668
74	#FFFFFF	668
75	#FFFFFF	668
76	#FFFFFF	668
77	#FFFFFF	668
78	#FFFFFF	668
79	#FFFFFF	668
80	#FFFFFF	668
81	#FFFFFF	668
82	#FFFFFF	668
83	#FFFFFF	668
84	#FFFFFF	668
85	#FFFFFF	1394
86	#FFFFFF	668
87	#FFFFFF	668
