group	x	y	clickSelects
3734	-45.25	48.75	1655
3734	-45.25	49.25	1655
3734	-44.75	49.25	1655
3734	-44.75	48.25	1655
3734	-42.75	48.25	1655
3734	-42.75	47.75	1655
3734	-43.25	47.25	1655
3734	-43.25	46.75	1655
3734	-39.75	43.25	1655
3734	-39.75	42.75	1655
3734	-41.25	42.75	1655
3734	-41.75	43.25	1655
3734	-41.75	44.25	1655
3734	-42.25	44.25	1655
3734	-42.75	43.75	1655
3734	-43.25	43.75	1655
3734	-43.75	44.25	1655
3734	-43.75	44.75	1655
3734	-43.25	45.25	1655
3734	-43.25	45.75	1655
3734	-43.75	45.75	1655
3734	-44.75	44.75	1655
3734	-44.75	43.75	1655
3734	-45.25	43.75	1655
3734	-45.25	48.75	1655
16301	-44.75	48.25	800
16301	-44.75	48.75	800
16301	-44.25	49.25	800
16301	-34.75	49.25	800
16301	-34.25	48.75	800
16301	-34.25	48.25	800
16301	-34.75	47.75	800
16301	-35.25	47.75	800
16301	-35.75	48.25	800
16301	-37.25	48.25	800
16301	-37.25	47.25	800
16301	-38.25	46.25	800
16301	-39.25	46.25	800
16301	-40.25	45.25	800
16301	-40.25	44.75	800
16301	-38.25	44.75	800
16301	-38.25	44.25	800
16301	-38.75	43.75	800
16301	-38.75	42.25	800
16301	-38.25	41.75	800
16301	-38.25	41.25	800
16301	-38.75	40.75	800
16301	-38.75	40.25	800
16301	-38.25	40.25	800
16301	-37.75	40.75	800
16301	-37.25	40.75	800
16301	-36.75	40.25	800
16301	-36.25	40.25	800
16301	-36.25	41.25	800
16301	-35.75	41.25	800
16301	-34.75	40.25	800
16301	-34.75	39.75	800
16301	-35.75	39.75	800
16301	-35.75	39.25	800
16301	-35.25	38.75	800
16301	-34.25	38.75	800
16301	-34.25	37.75	800
16301	-32.25	35.75	800
16301	-31.75	35.75	800
16301	-31.75	36.75	800
16301	-31.25	37.25	800
16301	-31.25	37.75	800
16301	-31.75	38.25	800
16301	-31.75	39.25	800
16301	-32.75	39.25	800
16301	-33.25	39.75	800
16301	-33.25	41.25	800
16301	-32.75	41.75	800
16301	-32.75	45.25	800
16301	-33.25	45.75	800
16301	-33.25	46.25	800
16301	-32.75	46.75	800
16301	-30.75	46.75	800
16301	-30.25	47.25	800
16301	-30.25	48.25	800
16301	-28.75	48.25	800
16301	-27.25	46.75	800
16301	-27.25	46.25	800
16301	-27.75	45.75	800
16301	-28.25	45.75	800
16301	-28.75	46.25	800
16301	-29.25	46.25	800
16301	-29.25	45.75	800
16301	-28.75	45.25	800
16301	-28.75	44.75	800
16301	-29.25	44.75	800
16301	-30.25	45.75	800
16301	-30.75	45.75	800
16301	-31.75	44.75	800
16301	-31.75	44.25	800
16301	-31.25	44.25	800
16301	-30.75	44.75	800
16301	-30.25	44.75	800
16301	-30.25	43.25	800
16301	-31.25	42.25	800
16301	-31.25	41.75	800
16301	-30.75	41.75	800
16301	-29.25	43.25	800
16301	-28.75	43.25	800
16301	-27.75	42.25	800
16301	-27.25	42.25	800
16301	-27.25	42.75	800
16301	-27.75	43.25	800
16301	-27.75	44.75	800
16301	-27.25	45.25	800
16301	-26.25	45.25	800
16301	-26.25	46.25	800
16301	-25.75	46.25	800
16301	-25.25	45.75	800
16301	-24.25	45.75	800
16301	-24.25	45.25	800
16301	-25.75	43.75	800
16301	-25.75	43.25	800
16301	-25.25	42.75	800
16301	-24.75	42.75	800
16301	-24.25	43.25	800
16301	-23.75	43.25	800
16301	-23.75	42.25	800
16301	-23.25	41.75	800
16301	-23.25	41.25	800
16301	-23.75	40.75	800
16301	-23.75	40.25	800
16301	-21.75	40.25	800
16301	-21.75	39.75	800
16301	-22.25	39.25	800
16301	-22.25	38.75	800
16301	-21.75	38.75	800
16301	-21.25	39.25	800
16301	-20.75	39.25	800
16301	-19.75	38.25	800
16301	-19.75	37.25	800
16301	-19.25	36.75	800
16301	-17.75	36.75	800
16301	-17.25	37.25	800
16301	-16.75	37.25	800
16301	-16.25	36.75	800
16301	-15.25	36.75	800
16301	-14.75	36.25	800
16301	-14.75	35.75	800
16301	-16.75	35.75	800
16301	-17.25	35.25	800
16301	-17.25	34.75	800
16301	-16.25	34.75	800
16301	-15.75	34.25	800
16301	-14.75	34.25	800
16301	-14.75	33.75	800
16301	-15.25	33.25	800
16301	-15.25	32.75	800
16301	-14.25	32.75	800
16301	-13.75	32.25	800
16301	-12.25	32.25	800
16301	-11.75	32.75	800
16301	-11.75	33.75	800
16301	-11.25	33.75	800
16301	-10.25	32.75	800
16301	-10.25	31.75	800
16301	-9.25	31.75	800
16301	-9.25	29.75	800
16301	-8.25	29.75	800
16301	-8.25	29.25	800
16301	-8.75	28.75	800
16301	-8.75	28.25	800
16301	-7.75	27.25	800
16301	-7.75	26.75	800
16301	-8.25	26.25	800
16301	-8.25	25.25	800
16301	-9.25	24.25	800
16301	-9.75	24.25	800
16301	-9.75	25.25	800
16301	-10.75	25.25	800
16301	-11.75	26.25	800
16301	-12.25	26.25	800
16301	-12.25	24.75	800
16301	-11.25	24.75	800
16301	-11.25	24.25	800
16301	-12.25	23.25	800
16301	-12.75	23.25	800
16301	-15.25	25.75	800
16301	-15.25	26.25	800
16301	-14.25	27.25	800
16301	-14.25	27.75	800
16301	-14.75	28.25	800
16301	-15.75	28.25	800
16301	-15.75	28.75	800
16301	-15.25	29.25	800
16301	-15.25	29.75	800
16301	-15.75	30.25	800
16301	-15.75	31.25	800
16301	-16.75	31.25	800
16301	-16.75	32.25	800
16301	-17.75	32.25	800
16301	-18.25	32.75	800
16301	-18.75	32.75	800
16301	-18.75	31.25	800
16301	-18.25	30.75	800
16301	-17.25	30.75	800
16301	-17.25	30.25	800
16301	-17.75	29.75	800
16301	-19.75	29.75	800
16301	-20.75	28.75	800
16301	-20.75	27.25	800
16301	-19.25	25.75	800
16301	-18.25	25.75	800
16301	-17.75	25.25	800
16301	-17.75	24.25	800
16301	-17.25	24.25	800
16301	-16.75	24.75	800
16301	-16.25	24.75	800
16301	-15.75	24.25	800
16301	-15.75	23.75	800
16301	-16.75	23.75	800
16301	-17.25	23.25	800
16301	-17.25	22.75	800
16301	-16.25	22.75	800
16301	-16.25	21.75	800
16301	-15.75	21.75	800
16301	-15.25	22.25	800
16301	-14.75	22.25	800
16301	-14.25	21.75	800
16301	-14.25	18.25	800
16301	-14.75	18.25	800
16301	-15.25	18.75	800
16301	-15.75	18.75	800
16301	-15.75	18.25	800
16301	-15.25	17.75	800
16301	-15.25	17.25	800
16301	-17.75	17.25	800
16301	-17.75	18.25	800
16301	-18.75	19.25	800
16301	-19.75	19.25	800
16301	-20.25	19.75	800
16301	-20.25	20.25	800
16301	-19.75	20.75	800
16301	-19.75	21.25	800
16301	-20.25	21.75	800
16301	-20.75	21.75	800
16301	-20.75	20.75	800
16301	-21.25	20.75	800
16301	-23.75	23.25	800
16301	-23.75	24.25	800
16301	-25.25	24.25	800
16301	-25.75	23.75	800
16301	-25.75	22.75	800
16301	-26.25	22.75	800
16301	-26.75	23.25	800
16301	-27.25	23.25	800
16301	-27.25	22.25	800
16301	-27.75	22.25	800
16301	-29.25	23.75	800
16301	-29.75	23.75	800
16301	-29.75	23.25	800
16301	-29.25	22.75	800
16301	-29.25	20.25	800
16301	-29.75	19.75	800
16301	-29.75	19.25	800
16301	-29.25	18.75	800
16301	-27.75	18.75	800
16301	-27.25	19.25	800
16301	-26.75	19.25	800
16301	-26.25	18.75	800
16301	-26.25	18.25	800
16301	-26.75	17.75	800
16301	-26.75	17.25	800
16301	-26.25	16.75	800
16301	-26.25	15.75	800
16301	-25.75	15.75	800
16301	-24.25	17.25	800
16301	-23.75	17.25	800
16301	-23.75	16.75	800
16301	-24.25	16.25	800
16301	-24.25	15.25	800
16301	-25.25	15.25	800
16301	-25.25	14.25	800
16301	-26.25	14.25	800
16301	-26.25	13.75	800
16301	-25.75	13.25	800
