group	fill	clickSelects
1	#FFFFFF	539
2	#FFFFFF	539
3	#FFFFFF	539
4	#FFFFFF	512
5	#FFFFFF	512
6	#FFFFFF	512
7	#FFFFFF	512
8	#FFFFFF	512
9	#FFFFFF	512
10	#FFFFFF	2447
11	#FFFFFF	2447
12	#FFFFFF	2447
13	#FFFFFF	512
14	#FFFFFF	539
15	#FFFFFF	512
16	#FFFFFF	512
17	#FFFFFF	512
18	#FFFFFF	512
19	#FFFFFF	512
20	#FFFFFF	512
21	#FFFFFF	512
22	#FFFFFF	512
23	#FFFFFF	512
24	#FFFFFF	512
25	#FFFFFF	512
26	#FFFFFF	512
27	#FFFFFF	512
28	#FFFFFF	512
29	#FFFFFF	512
30	#FFFFFF	512
31	#FFFFFF	512
32	#FFFFFF	512
33	#FFFFFF	501
34	#FFFFFF	501
35	#FFFFFF	501
36	#FFFFFF	512
37	#FFFFFF	501
38	#FFFFFF	501
39	#FFFFFF	401
40	#FFFFFF	401
41	#FFFFFF	401
42	#FFFFFF	401
43	#FFFFFF	501
44	#FFFFFF	501
45	#FFFFFF	401
46	#FFFFFF	539
47	#FFFFFF	512
48	#FFFFFF	512
49	#FFFFFF	512
50	#FFFFFF	512
51	#FFFFFF	539
52	#FFFFFF	539
53	#FFFFFF	539
54	#FFFFFF	512
55	#FFFFFF	512
56	#FFFFFF	512
57	#FFFFFF	512
58	#FFFFFF	512
59	#FFFFFF	512
60	#FFFFFF	512
61	#FFFFFF	2447
62	#FFFFFF	2447
63	#FFFFFF	2447
64	#FFFFFF	539
65	#FFFFFF	512
66	#FFFFFF	512
67	#FFFFFF	512
68	#FFFFFF	512
69	#FFFFFF	1871
70	#FFFFFF	512
71	#FFFFFF	512
72	#FFFFFF	512
73	#FFFFFF	512
74	#FFFFFF	512
75	#FFFFFF	539
76	#FFFFFF	512
77	#FFFFFF	512
78	#FFFFFF	512
79	#FFFFFF	512
80	#FFFFFF	512
81	#FFFFFF	512
82	#FFFFFF	512
83	#FFFFFF	501
84	#FFFFFF	501
85	#FFFFFF	501
86	#FFFFFF	512
87	#FFFFFF	501
88	#FFFFFF	501
89	#FFFFFF	501
90	#FFFFFF	501
91	#FFFFFF	401
92	#FFFFFF	401
93	#FFFFFF	401
94	#FFFFFF	501
95	#FFFFFF	501
96	#FFFFFF	401
97	#FFFFFF	539
98	#FFFFFF	512
99	#FFFFFF	512
100	#FFFFFF	512
101	#FFFFFF	512
102	#FFFFFF	539
103	#FFFFFF	539
104	#FFFFFF	539
105	#FFFFFF	512
106	#FFFFFF	512
107	#FFFFFF	512
108	#FFFFFF	512
109	#FFFFFF	512
110	#FFFFFF	512
111	#FFFFFF	2447
112	#FFFFFF	2447
113	#FFFFFF	2447
114	#FFFFFF	512
115	#FFFFFF	539
116	#FFFFFF	512
117	#FFFFFF	512
118	#FFFFFF	512
119	#FFFFFF	1871
120	#FFFFFF	512
121	#FFFFFF	512
122	#FFFFFF	512
123	#FFFFFF	512
124	#FFFFFF	512
125	#FFFFFF	512
126	#FFFFFF	539
127	#FFFFFF	512
128	#FFFFFF	512
129	#FFFFFF	512
130	#FFFFFF	512
131	#FFFFFF	512
132	#FFFFFF	512
133	#FFFFFF	501
134	#FFFFFF	512
135	#FFFFFF	501
136	#FFFFFF	501
137	#FFFFFF	539
138	#FFFFFF	501
139	#FFFFFF	501
140	#FFFFFF	501
141	#FFFFFF	501
142	#FFFFFF	401
143	#FFFFFF	401
144	#FFFFFF	501
145	#FFFFFF	501
146	#FFFFFF	401
147	#FFFFFF	512
148	#FFFFFF	512
149	#FFFFFF	512
150	#FFFFFF	512
151	#FFFFFF	512
152	#FFFFFF	539
153	#FFFFFF	512
154	#FFFFFF	512
155	#FFFFFF	512
156	#FFFFFF	512
157	#FFFFFF	512
158	#FFFFFF	512
159	#FFFFFF	270
160	#FFFFFF	512
161	#FFFFFF	512
162	#FFFFFF	512
163	#FFFFFF	1871
164	#FFFFFF	1871
165	#FFFFFF	512
166	#FFFFFF	512
167	#FFFFFF	512
168	#FFFFFF	512
169	#FFFFFF	512
170	#FFFFFF	512
171	#FFFFFF	512
172	#FFFFFF	512
173	#FFFFFF	512
174	#FFFFFF	512
175	#FFFFFF	512
176	#FFFFFF	512
177	#FFFFFF	512
178	#FFFFFF	512
179	#FFFFFF	512
180	#FFFFFF	512
181	#FFFFFF	136
182	#FFFFFF	136
183	#FFFFFF	136
184	#FFFFFF	512
185	#FFFFFF	512
186	#FFFFFF	512
187	#FFFFFF	512
188	#FFFFFF	512
189	#FFFFFF	512
190	#FFFFFF	401
191	#FFFFFF	401
192	#FFFFFF	401
193	#FFFFFF	401
194	#FFFFFF	401
195	#FFFFFF	660
196	#FFFFFF	660
197	#FFFFFF	660
198	#FFFFFF	512
199	#FFFFFF	512
200	#FFFFFF	512
201	#FFFFFF	512
202	#FFFFFF	512
203	#FFFFFF	512
204	#FFFFFF	512
205	#FFFFFF	512
206	#FFFFFF	512
207	#FFFFFF	512
208	#FFFFFF	512
209	#FFFFFF	512
210	#FFFFFF	270
211	#FFFFFF	512
212	#FFFFFF	512
213	#FFFFFF	1871
214	#FFFFFF	1871
215	#FFFFFF	512
216	#FFFFFF	512
217	#FFFFFF	512
218	#FFFFFF	512
219	#FFFFFF	512
220	#FFFFFF	1871
221	#FFFFFF	512
222	#FFFFFF	512
223	#FFFFFF	512
224	#FFFFFF	136
225	#FFFFFF	136
226	#FFFFFF	512
227	#FFFFFF	512
228	#FFFFFF	512
229	#FFFFFF	512
230	#FFFFFF	512
231	#FFFFFF	512
232	#FFFFFF	136
233	#FFFFFF	136
234	#FFFFFF	512
235	#FFFFFF	512
236	#FFFFFF	136
237	#FFFFFF	136
238	#FFFFFF	512
239	#FFFFFF	512
240	#FFFFFF	136
241	#FFFFFF	401
242	#FFFFFF	401
243	#FFFFFF	401
244	#FFFFFF	401
245	#FFFFFF	660
246	#FFFFFF	660
247	#FFFFFF	660
248	#FFFFFF	512
249	#FFFFFF	512
250	#FFFFFF	512
251	#FFFFFF	512
252	#FFFFFF	512
253	#FFFFFF	539
254	#FFFFFF	512
255	#FFFFFF	512
256	#FFFFFF	270
257	#FFFFFF	512
258	#FFFFFF	512
259	#FFFFFF	512
260	#FFFFFF	270
261	#FFFFFF	270
262	#FFFFFF	512
263	#FFFFFF	1871
264	#FFFFFF	1871
265	#FFFFFF	1871
266	#FFFFFF	512
267	#FFFFFF	1871
268	#FFFFFF	1871
269	#FFFFFF	512
270	#FFFFFF	512
271	#FFFFFF	1871
272	#FFFFFF	512
273	#FFFFFF	512
274	#FFFFFF	136
275	#FFFFFF	136
276	#FFFFFF	136
277	#FFFFFF	512
278	#FFFFFF	512
279	#FFFFFF	512
280	#FFFFFF	512
281	#FFFFFF	512
282	#FFFFFF	136
283	#FFFFFF	136
284	#FFFFFF	136
285	#FFFFFF	512
286	#FFFFFF	136
287	#FFFFFF	136
288	#FFFFFF	512
289	#FFFFFF	136
290	#FFFFFF	136
291	#FFFFFF	401
292	#FFFFFF	401
293	#FFFFFF	401
294	#FFFFFF	401
295	#FFFFFF	401
296	#FFFFFF	401
297	#FFFFFF	660
298	#FFFFFF	660
299	#FFFFFF	512
300	#FFFFFF	512
301	#FFFFFF	512
302	#FFFFFF	512
303	#FFFFFF	512
304	#FFFFFF	539
305	#FFFFFF	512
306	#FFFFFF	512
307	#FFFFFF	270
308	#FFFFFF	512
309	#FFFFFF	270
310	#FFFFFF	270
311	#FFFFFF	270
312	#FFFFFF	270
313	#FFFFFF	1871
314	#FFFFFF	270
315	#FFFFFF	1871
316	#FFFFFF	1871
317	#FFFFFF	512
318	#FFFFFF	1871
319	#FFFFFF	512
320	#FFFFFF	512
321	#FFFFFF	1871
322	#FFFFFF	512
323	#FFFFFF	512
324	#FFFFFF	512
325	#FFFFFF	512
326	#FFFFFF	136
327	#FFFFFF	512
328	#FFFFFF	512
329	#FFFFFF	512
330	#FFFFFF	512
331	#FFFFFF	512
332	#FFFFFF	136
333	#FFFFFF	136
334	#FFFFFF	136
335	#FFFFFF	136
336	#FFFFFF	512
337	#FFFFFF	136
338	#FFFFFF	136
339	#FFFFFF	512
340	#FFFFFF	136
341	#FFFFFF	136
342	#FFFFFF	401
343	#FFFFFF	401
344	#FFFFFF	401
345	#FFFFFF	401
346	#FFFFFF	401
347	#FFFFFF	401
348	#FFFFFF	660
349	#FFFFFF	512
350	#FFFFFF	512
351	#FFFFFF	512
352	#FFFFFF	512
353	#FFFFFF	512
354	#FFFFFF	539
355	#FFFFFF	512
356	#FFFFFF	512
357	#FFFFFF	270
358	#FFFFFF	270
359	#FFFFFF	270
360	#FFFFFF	270
361	#FFFFFF	270
362	#FFFFFF	270
363	#FFFFFF	1871
364	#FFFFFF	1871
365	#FFFFFF	270
366	#FFFFFF	1871
367	#FFFFFF	512
368	#FFFFFF	1871
369	#FFFFFF	1871
370	#FFFFFF	512
371	#FFFFFF	1871
372	#FFFFFF	1871
373	#FFFFFF	512
374	#FFFFFF	512
375	#FFFFFF	512
376	#FFFFFF	136
377	#FFFFFF	136
378	#FFFFFF	512
379	#FFFFFF	136
380	#FFFFFF	512
381	#FFFFFF	136
382	#FFFFFF	512
383	#FFFFFF	136
384	#FFFFFF	136
385	#FFFFFF	136
386	#FFFFFF	512
387	#FFFFFF	136
388	#FFFFFF	136
389	#FFFFFF	512
390	#FFFFFF	136
391	#FFFFFF	136
392	#FFFFFF	401
393	#FFFFFF	401
394	#FFFFFF	401
395	#FFFFFF	401
396	#FFFFFF	401
397	#FFFFFF	660
398	#FFFFFF	660
399	#FFFFFF	660
400	#FFFFFF	512
401	#FFFFFF	512
402	#FFFFFF	512
403	#FFFFFF	512
404	#FFFFFF	512
405	#FFFFFF	512
406	#FFFFFF	512
407	#FFFFFF	512
408	#FFFFFF	270
409	#FFFFFF	270
410	#FFFFFF	270
411	#FFFFFF	270
412	#FFFFFF	270
413	#FFFFFF	270
414	#FFFFFF	270
415	#FFFFFF	270
416	#FFFFFF	270
417	#FFFFFF	1871
418	#FFFFFF	512
419	#FFFFFF	1871
420	#FFFFFF	1871
421	#FFFFFF	1871
422	#FFFFFF	1871
423	#FFFFFF	1871
424	#FFFFFF	512
425	#FFFFFF	512
426	#FFFFFF	512
427	#FFFFFF	136
428	#FFFFFF	136
429	#FFFFFF	512
430	#FFFFFF	136
431	#FFFFFF	136
432	#FFFFFF	512
433	#FFFFFF	136
434	#FFFFFF	136
435	#FFFFFF	136
436	#FFFFFF	136
437	#FFFFFF	136
438	#FFFFFF	136
439	#FFFFFF	401
440	#FFFFFF	512
441	#FFFFFF	401
442	#FFFFFF	401
443	#FFFFFF	401
444	#FFFFFF	401
445	#FFFFFF	401
446	#FFFFFF	401
447	#FFFFFF	401
448	#FFFFFF	660
449	#FFFFFF	660
450	#FFFFFF	512
451	#FFFFFF	512
452	#FFFFFF	512
453	#FFFFFF	512
454	#FFFFFF	270
455	#FFFFFF	539
456	#FFFFFF	512
457	#FFFFFF	512
458	#FFFFFF	270
459	#FFFFFF	270
460	#FFFFFF	270
