group	label	showSelected1
1	Cluster 39: 394/12612 pixels shown, logFC -5.7 to 3.7, log10(p) 0.0 to 5.8	39
1	Cluster 249: 909/3646 pixels shown, logFC -5.6 to 1.9, log10(p) 0.0 to 9.7	249
1	Cluster 1301: 1258/4135 pixels shown, logFC -4.5 to 3.5, log10(p) 0.0 to 3.6	1301
1	Cluster 1401: 483/1939 pixels shown, logFC -4.9 to 2.7, log10(p) 0.0 to 2.9	1401
1	Cluster 1517: 1092/1302 pixels shown, logFC -2.4 to 2.9, log10(p) 0.0 to 4.2	1517
1	Cluster 1631: 379/514 pixels shown, logFC -3.5 to 3.9, log10(p) 0.0 to 4.1	1631
1	Cluster 2289: 50/2302 pixels shown, logFC -2.4 to 3.7, log10(p) 0.0 to 5.7	2289
1	Cluster 2568: 1/533 pixels shown, logFC -2.0 to 2.9, log10(p) 0.0 to 5.0	2568
1	Cluster 3419: 101/118 pixels shown, logFC -0.4 to 3.2, log10(p) 0.1 to 5.3	3419
1	Cluster 3573: 197/2243 pixels shown, logFC -5.0 to 1.7, log10(p) 0.0 to 10.3	3573
1	Cluster 3921: 108/108 pixels shown, logFC -4.5 to 1.2, log10(p) 0.0 to 2.8	3921
