group	fill	clickSelects
1	#FFFFFF	5
2	#FFFFFF	5
3	#FFFFFF	5
4	#FFFFFF	1320
5	#FFFFFF	5
6	#FFFFFF	5
7	#FFFFFF	3455
8	#FFFFFF	5
9	#FFFFFF	5
12	#FFFFFF	5
13	#FFFFFF	2843
14	#FFFFFF	5
15	#FFFFFF	5
16	#FFFFFF	5
17	#FFFFFF	5
18	#FFFFFF	5
19	#FFFFFF	1320
21	#FFFFFF	1320
22	#FFFFFF	1320
23	#FFFFFF	1547
24	#FFFFFF	1547
25	#FFFFFF	5
26	#FFFFFF	1547
29	#FFFFFF	1547
30	#FFFFFF	2560
32	#FFFFFF	1547
33	#FFFFFF	1547
34	#FFFFFF	2560
35	#FFFFFF	2560
36	#FFFFFF	5
37	#FFFFFF	1547
38	#FFFFFF	1547
39	#FFFFFF	836
40	#FFFFFF	836
41	#FFFFFF	1547
42	#FFFFFF	1547
43	#FFFFFF	1547
44	#FFFFFF	836
45	#FFFFFF	1547
46	#FFFFFF	5
47	#FFFFFF	5
48	#FFFFFF	5
50	#FFFFFF	5
51	#FFFFFF	5
52	#FFFFFF	5
53	#FFFFFF	5
54	#FFFFFF	5
55	#FFFFFF	1320
56	#FFFFFF	5
57	#FFFFFF	3455
58	#FFFFFF	3455
59	#FFFFFF	3455
60	#FFFFFF	5
63	#FFFFFF	5
64	#FFFFFF	5
66	#FFFFFF	5
67	#FFFFFF	5
68	#FFFFFF	5
69	#FFFFFF	5
70	#FFFFFF	1320
71	#FFFFFF	1547
72	#FFFFFF	1320
73	#FFFFFF	1547
74	#FFFFFF	1547
75	#FFFFFF	5
76	#FFFFFF	1320
77	#FFFFFF	1547
78	#FFFFFF	1547
79	#FFFFFF	1547
80	#FFFFFF	1547
81	#FFFFFF	2560
82	#FFFFFF	1547
83	#FFFFFF	2560
84	#FFFFFF	2560
85	#FFFFFF	1547
86	#FFFFFF	5
87	#FFFFFF	2560
88	#FFFFFF	1547
89	#FFFFFF	1547
90	#FFFFFF	1547
91	#FFFFFF	836
92	#FFFFFF	1547
93	#FFFFFF	1547
94	#FFFFFF	836
95	#FFFFFF	836
97	#FFFFFF	5
98	#FFFFFF	3455
99	#FFFFFF	3455
100	#FFFFFF	3455
101	#FFFFFF	5
102	#FFFFFF	5
103	#FFFFFF	5
104	#FFFFFF	5
105	#FFFFFF	5
106	#FFFFFF	5
107	#FFFFFF	5
108	#FFFFFF	3455
109	#FFFFFF	3455
110	#FFFFFF	5
112	#FFFFFF	5
113	#FFFFFF	2843
114	#FFFFFF	5
115	#FFFFFF	3455
117	#FFFFFF	5
118	#FFFFFF	5
119	#FFFFFF	5
120	#FFFFFF	1320
121	#FFFFFF	1320
123	#FFFFFF	1320
124	#FFFFFF	1547
125	#FFFFFF	1320
127	#FFFFFF	1547
128	#FFFFFF	1547
129	#FFFFFF	1547
130	#FFFFFF	2560
131	#FFFFFF	2560
132	#FFFFFF	1547
133	#FFFFFF	2560
136	#FFFFFF	2560
137	#FFFFFF	5
138	#FFFFFF	1547
139	#FFFFFF	1547
140	#FFFFFF	1547
141	#FFFFFF	1547
142	#FFFFFF	836
144	#FFFFFF	836
145	#FFFFFF	836
147	#FFFFFF	5
148	#FFFFFF	3455
149	#FFFFFF	3455
150	#FFFFFF	3455
151	#FFFFFF	5
152	#FFFFFF	3416
153	#FFFFFF	3416
154	#FFFFFF	3416
155	#FFFFFF	3455
156	#FFFFFF	3455
