group	label	showSelected1
1	Cluster 412: 11/102 pixels shown, logFC 1.2 to 3.0, log10(p) 6.1 to 45.9	412
1	Cluster 771: 1902/2459 pixels shown, logFC -0.7 to 2.3, log10(p) 0.0 to 19.1	771
1	Cluster 835: 85/85 pixels shown, logFC 1.0 to 2.4, log10(p) 6.6 to 41.7	835
1	Cluster 879: 1095/2697 pixels shown, logFC -2.0 to 2.0, log10(p) 0.0 to 32.2	879
1	Cluster 1112: 318/989 pixels shown, logFC 0.0 to 3.7, log10(p) 0.0 to 21.3	1112
1	Cluster 1289: 360/3246 pixels shown, logFC -2.0 to 3.4, log10(p) 0.0 to 14.6	1289
1	Cluster 1317: 108/195 pixels shown, logFC 0.8 to 2.8, log10(p) 4.2 to 27.6	1317
1	Cluster 1376: 3/1716 pixels shown, logFC -0.8 to 2.9, log10(p) 0.0 to 9.7	1376
1	Cluster 1433: 71/829 pixels shown, logFC 0.3 to 2.2, log10(p) 0.6 to 16.4	1433
1	Cluster 1473: 57/57 pixels shown, logFC -1.3 to -0.4, log10(p) 2.9 to 29.6	1473
1	Cluster 2437: 411/932 pixels shown, logFC -1.1 to 0.2, log10(p) 0.0 to 28.3	2437
1	Cluster 3187: 286/379 pixels shown, logFC -1.1 to 0.2, log10(p) 0.0 to 24.1	3187
1	Cluster 3617: 193/193 pixels shown, logFC 0.9 to 2.0, log10(p) 4.7 to 18.7	3617
