group	label	showSelected1
1	Cluster 43: 1265/19260 pixels shown, logFC -5.2 to 5.3, log10(p) 0.0 to 5.0	43
1	Cluster 211: 328/3204 pixels shown, logFC -4.8 to 3.7, log10(p) 0.0 to 3.8	211
1	Cluster 580: 3236/6431 pixels shown, logFC -4.4 to 5.0, log10(p) 0.0 to 5.4	580
1	Cluster 1217: 6/221 pixels shown, logFC -3.5 to 3.4, log10(p) 0.0 to 5.3	1217
1	Cluster 1518: 258/269 pixels shown, logFC -4.1 to 2.4, log10(p) 0.0 to 2.5	1518
1	Cluster 1787: 8/654 pixels shown, logFC -4.1 to 4.1, log10(p) 0.0 to 3.3	1787
